5;Collision;LEFT player;3;RIGHT player;3;distance 5;(224,23);(229,24)
6;Collision;LEFT player;2;RIGHT player;2;distance 9;(170,24);(162,21)
6;Collision;LEFT player;3;RIGHT player;3;distance 5;(205,23);(210,24)
6;Collision;LEFT player;3;RIGHT player;2;distance 9;(201,14);(195,7)
6;Collision;LEFT player;2;RIGHT player;2;distance 13;(196,23);(206,15)
6;Collision;LEFT player;3;RIGHT player;3;distance 5;(419,65);(424,64)
6;Collision;LEFT player;2;RIGHT player;2;distance 4;(390,58);(394,58)
6;Collision;LEFT player;3;RIGHT player;3;distance 5;(416,71);(421,70)
6;Collision;LEFT player;2;RIGHT player;3;distance 10;(405,46);(415,46)
6;Collision;LEFT player;3;RIGHT player;5;distance 12;(415,74);(424,66)
6;Collision;LEFT player;2;RIGHT player;3;distance 9;(424,41);(433,38)
6;Collision;LEFT player;3;RIGHT player;5;distance 5;(423,70);(421,65)
6;Collision;LEFT player;2;RIGHT player;3;distance 9;(443,36);(452,34)
6;Collision;LEFT player;3;RIGHT player;5;distance 9;(434,64);(432,55)
6;Collision;LEFT player;2;RIGHT player;3;distance 9;(462,31);(471,29)
6;Collision;LEFT player;3;RIGHT player;5;distance 9;(447,56);(448,47)
7;Collision;LEFT player;2;RIGHT player;3;distance 9;(481,27);(490,24)
7;Collision;LEFT player;3;RIGHT player;5;distance 11;(461,49);(465,39)
7;Collision;LEFT player;2;RIGHT player;3;distance 9;(500,22);(509,20)
7;Collision;LEFT player;3;RIGHT player;5;distance 10;(478,41);(482,32)
7;Collision;LEFT player;2;RIGHT player;3;distance 9;(519,17);(528,15)
7;Collision;LEFT player;3;RIGHT player;5;distance 9;(495,34);(500,26)
7;Collision;LEFT player;2;RIGHT player;3;distance 9;(538,12);(547,10)
7;Collision;LEFT player;3;RIGHT player;5;distance 9;(513,27);(519,20)
7;Player speed exceeded;33;LEFT player;3;from (513,27) to (545,20)
7;Player speed exceeded;33;RIGHT player;5;from (519,20) to (551,11)
7;Collision;LEFT player;2;RIGHT player;3;distance 8;(517,27);(525,25)
7;Collision;LEFT player;3;RIGHT player;5;distance 11;(545,20);(551,11)
7;Collision;LEFT player;3;RIGHT player;5;distance 10;(564,19);(570,11)
7;Collision;LEFT player;2;RIGHT player;3;distance 12;(538,32);(550,32)
7;Collision;LEFT player;3;RIGHT player;5;distance 8;(583,19);(589,13)
7;Collision;LEFT player;2;RIGHT player;3;distance 10;(556,31);(561,22)
7;Collision;LEFT player;3;RIGHT player;5;distance 7;(602,20);(608,16)
7;Collision;LEFT player;2;RIGHT player;3;distance 12;(574,30);(577,18)
7;Collision;LEFT player;3;RIGHT player;5;distance 9;(621,25);(628,19)
7;Collision;LEFT player;2;RIGHT player;3;distance 7;(592,30);(594,23)
7;Collision;LEFT player;3;RIGHT player;5;distance 11;(621,25);(631,21)
7;Collision;LEFT player;2;RIGHT player;3;distance 9;(595,11);(604,10)
7;Collision;LEFT player;3;RIGHT player;5;distance 9;(624,7);(633,7)
7;Player speed exceeded;33;LEFT player;3;from (624,7) to (595,22)
7;Player speed exceeded;31;RIGHT player;3;from (604,10) to (577,25)
7;Collision;LEFT player;2;RIGHT player;2;distance 7;(569,26);(566,20)
7;Collision;LEFT player;2;RIGHT player;3;distance 8;(569,26);(577,25)
7;Collision;RIGHT player;2;RIGHT player;3;distance 12;(566,20);(577,25)
7;Player speed exceeded;31;LEFT player;3;from (602,7) to (575,22)
7;Collision;LEFT player;3;RIGHT player;2;distance 13;(575,22);(562,22)
7;Collision;LEFT player;2;RIGHT player;2;distance 9;(545,22);(545,13)
7;Collision;LEFT player;2;RIGHT player;3;distance 12;(545,22);(557,24)
7;Collision;LEFT player;2;LEFT player;3;distance 11;(543,15);(548,25)
